,ac,dc_norm,dc
Kyocera_Solar_KC70_2003_E_,1117.8472811352262,1242.205978979675,86912.18352529194
Kyocera_Solar_KC80__1998_,1114.9773984648245,1232.814381696768,93148.1260821772
Kyocera_Solar_KC80_1999_E_,1128.8154965320061,1242.2059789796754,99298.2193416983
Kyocera_Solar_KC80_2003_E_,1128.8154965320061,1242.2059789796754,99298.2193416983
Kyocera_Solar_KC85T_2008_E_,1139.5484688038212,1246.5588852530504,108884.42550908342
Kyocera_Solar_KD135GX_LP_2008_E_,1167.1566510090486,1249.2048787695996,168706.3680827132
Kyocera_Solar_KD180GX_LP_2008_E_,1178.4253107565955,1249.3613241963671,224969.99492539145
Kyocera_Solar_KD205GX_LP_2008_E_,1182.411321034638,1249.3545545140928,256225.12816707732
Kyocera_Solar_KS10_2003_E_,709.2352167720964,1242.2059789796751,12595.968626853906
Kyocera_Solar_KS10_2008_E_,711.5148389156436,1246.5588852530504,12580.272269973782
Kyocera_Solar_KS12_2003_E_,770.9677382506972,1242.2059789796751,14905.229541777118
Kyocera_Solar_KS16_2003_E_,864.4852185945155,1242.2059789796754,19943.61699251868
Kyocera_Solar_KS20_2003_E_,926.8368404466255,1242.2059789796751,25191.937253707812
Kyocera_Solar_KS20_2008_E_,929.7471888066751,1246.5588852530504,25160.544539947565
Kyocera_Solar_KS5_2003_E_,369.88362181032073,1242.2059789796754,6088.051502979387
Kyocera_Solar_KS5_2008_E_,389.59518438724064,1246.5588852530504,6290.136134986891
Kyocera_Solar_PV110_2003_E_,1151.8176139249226,1243.9064967581144,137103.37407267932
Kyocera_Solar_PV120_2003_E_,1157.3441159437475,1244.9114420528458,149376.92393192096
Kyocera_Solar_PV65_2003_E_,1111.2475353941315,1241.8226419896248,80966.83625772354
Kyocera_Solar_PV75_2003_E_,1126.6426574125462,1245.4050539214352,93156.29803332339
Ligitek_LM220_BB00__2009_,1212.0736614777304,1278.3913955389087,277584.1983057783
Misubishi_PV_MF115UE4N_2008_E_,1170.811115436626,1261.4549073594756,145603.4326819675
Misubishi_PV_MF120UE4N_2008_E_,1173.3178428527656,1261.820693622767,151706.17835287802
Misubishi_PV_MF125UE4N_2008_E_,1175.6702954200541,1262.1822531614828,157872.4940431851
Misubishi_PV_MF130UE4N_2008_E_,1177.882915575981,1262.5396582721357,164102.37970289565
Misubishi_PV_UE115MF5N_2008_E_,1170.811115436626,1261.4549073594756,145603.4326819675
Misubishi_PV_UE120MF5N_2008_E_,1173.3178428527656,1261.820693622767,151706.17835287802
Misubishi_PV_UE125MF5N_2008_E_,1175.6702954200541,1262.1822531614828,157872.4940431851
Misubishi_PV_UE130MF5N_2008_E_,1177.882915575981,1262.5396582721357,164102.37970289565
Mitsubishi_PV_MF165EB3__2003_,1182.5806691200255,1257.4048251601564,206200.55987318887
Mitsubishi_PV_MF165EB3_2003_E_,1183.8913651774415,1258.4648828970248,208006.62663451768
Mitsubishi_PV_MF170EB4_2006_E_,1186.0414088646412,1259.5365253387665,214723.26776670228
Mitsubishi_PV_MF170UD4_2006_E_,1185.036332415243,1258.4816822997113,214449.05410891768
Mitsubishi_PV_MF175UD4_2006_E_,1186.4904760781324,1259.0330518733879,220265.31435914544
Mitsubishi_PV_MF180UD4_2006_E_,1188.2905902269201,1259.84302324374,227137.09866061385
Mitsubishi_PV_MF185UD4_2006_E_,1189.639552084741,1260.371938974653,233108.31085724
Mitsubishi_PV_UD175MF5_2008_E_,1189.1997079283192,1261.823931465426,220753.57316201337
Mitsubishi_PV_UD180MF5_2008_E_,1190.5193427036256,1262.1399238215984,227551.206865796
Mitsubishi_PV_UD185MF5_2008_E_,1191.8494785193777,1262.6500124985946,233529.64511164
Mitsubishi_PV_UD190MF5_2008_E_,1193.065321739334,1262.9495780107072,240512.32878762504
Moser_Baer_MBPV_220_Module__2010_,1188.7354761092338,1255.7453046639782,261631.2981710898
Moser_Baer_MBPV_220_Module_2010_E_,1194.5557506094458,1260.2812667080786,276968.737253141
Photowatt_PW100_2003_E_,704.3376164566394,1228.5853096213334,12649.514347861246
Photowatt_PW1000_100W_12V__2001_E_,1116.5973456987433,1212.0038093329856,120909.50001905864
Photowatt_PW1000_100W_24V__2001_E_,1115.8387192778403,1212.0038093329856,120909.50001905864
Photowatt_PW1000_105W_12V__2001_E_,1120.3890195491056,1212.5348925026358,127958.80720580317
Photowatt_PW1000_105W_24V__2001_E_,1119.6866958542246,1212.5348925026358,127958.80720580317
Photowatt_PW1000_24V__2000_,1110.632810504676,1211.5565021863763,111939.09759520546
Photowatt_PW1000_90W_12V__2001_E_,1108.576856786234,1209.817066110733,109754.60423756571
Photowatt_PW1000_90W_24V__2001_E_,1107.7378595708915,1209.817066110733,109754.60423756571
Photowatt_PW1000_95W_12V__2001_E_,1112.7099149881285,1210.9232239879393,115279.89092365181
Photowatt_PW1000_95W_24V__2001_E_,1111.9112114310904,1210.9232239879393,115279.89092365181
Photowatt_PW1000_12V_2003_E_,1141.8629360667016,1239.7811192500883,123680.56445638879
Photowatt_PW1000_24V_2003_E_,1144.6472123610624,1239.932022406119,130850.02632451773
Photowatt_PW1250_2003_E_,1154.2005175605304,1240.1570899302458,154176.32942012817
Photowatt_PW1650_12_2003_E_,1166.2325409064572,1239.7811192500883,204712.65841057457
Photowatt_PW1650_24_2003_E_,1165.687395437389,1239.4591791173439,204659.4996558558
Photowatt_PW200_12V_2003_E_,944.4818741498698,1238.8225316168487,27377.977948732358
Photowatt_PW500_12V_2003_E_,1080.9070137676636,1239.7811192500883,61840.282228194395
Photowatt_PW6_110_2003_E_,1147.6963767680404,1239.7811192500883,136475.1056070497
Photowatt_PW6_123_2003_E_,1155.4400761740824,1241.6329809405088,152969.18325187068
Photowatt_PW6_230_12V_2003_E_,1177.2414577847458,1240.9484644903125,285840.0693106986
Photowatt_PW6_230_24_2003_E_,1177.1411429755526,1240.631137519569,285766.97621625755
Photowatt_PW750_2003_E_,1120.3005186691214,1238.8225316168487,92663.92536494028
Photowatt_PW850_12V_2003_E_,1126.5778626186625,1240.2521016132405,98699.2622463817
Photowatt_PWX100_2000_E_,746.0332667722323,1245.8247537218315,13766.36352862624
Photowatt_PWX200_2000_E_,928.9284497014942,1240.9773611227627,25415.21635579418
Photowatt_PWX500__1998_,1080.1716523973744,1244.0197806052067,59666.634612617985
Photowatt_PWX500_42W__2000_E_,1064.0479516841929,1244.9013656787677,52285.85735850825
Photowatt_PWX500_47W__2000_E_,1081.0363242152475,1245.8247537218315,59301.258277159184
Photowatt_PWX500_52W__2000_E_,1092.4966557225391,1247.1698483483801,64728.11512928094
Photowatt_PWX750_70W__2000_E_,1120.2466921052865,1244.4314008134309,87284.41845305404
Photowatt_PWX750_75W__2000_E_,1126.9960767117225,1245.8247537218315,93187.691578393
Photowatt_PWX750_80W__2000_E_,1133.1996138365728,1247.1698483483801,99249.7765315641
PowerLight_PL_210_QM_I_2008_E_,1188.128718245968,1254.5659109142885,265105.45905007556
PowerLight_PL_225_QM_I_2008_E_,1190.1627006276665,1254.8701667461992,283004.5943554366
Sanyo_H168__2005_,1221.7025331823017,1289.998758055026,265932.7537735155
Sanyo_HIP_180BA3_2006_E_,1194.343331223131,1266.3667069366024,227718.06124133986
Sanyo_HIP_180DA3_Bifacial_2007_E_,1194.770355085063,1266.7617961265537,228098.19605773178
Sanyo_HIP_186BA3_2006_E_,1195.9173217000077,1266.7617961265537,235678.49864575308
Sanyo_HIP_186DA1_Bifacial_2006_E_,1196.3419301502286,1267.1511175911044,236095.59622957458
Sanyo_HIP_186DA3_Bifacial_2007_E_,1196.3419301502286,1267.1511175911044,236095.59622957458
Sanyo_HIP_190BA2__2003_,1196.4134949762424,1265.8134187708454,245789.37122236565
Sanyo_HIP_190BA2_2004_E_,1196.6432330838813,1266.7477318691938,240879.68170131842
Sanyo_HIP_190BA3_2006_E_,1196.6432330838813,1266.7477318691938,240879.68170131842
Sanyo_HIP_190BE11_2006_E_,1196.6432330838813,1266.7477318691938,240879.68170131842
Sanyo_HIP_190DA1_Bifacial_2006_E_,1197.1214361026846,1267.230110756181,241067.71842936982
Sanyo_HIP_190DA3_Bifacial_2007_E_,1197.5110906489776,1267.62984922925,241143.7614785787
Sanyo_HIP_195BA3_2006_E_,1197.9807252011378,1267.230110756181,247374.72269060332
Sanyo_HIP_195BE11_2006_E_,1197.9807252011378,1267.230110756181,247374.72269060332
Sanyo_HIP_195DA3_Bifacial_2007_E_,1198.8397616886114,1268.1000014473573,247659.93028266885
Sanyo_HIP_200BA19__2009_,1186.0812476601407,1254.6993658798258,244600.96957125436
Sanyo_HIP_200BA3_2006_E_,1199.2751022453394,1267.7038448602475,253948.9696100945
Sanyo_HIP_200BE11_2006_E_,1199.2751022453394,1267.7038448602475,253948.9696100945
Sanyo_HIP_200DA3_Bifacial_2007_E_,1199.9797145211135,1268.4700999194044,253785.3498310751
Sanyo_HIP_205BA3_2006_E_,1200.8479424552918,1268.5355113984974,260371.98785658725
Sanyo_HIP_205NKHE1_2008_E_,1198.4351467355966,1266.0876132856436,260225.3175966647
Sanyo_HIP_210NKHE1_2008_E_,1199.855948240725,1266.872279970646,266318.0900785893
Sanyo_HIP_215HDE1_2008_E_,1199.593953675442,1265.9793852800772,272375.4647430086
Sanyo_HIP_215NKHE1_2008_E_,1201.4213997157174,1267.759389250635,273151.4380079419
Sanyo_HIP_220HDE1_2008_E_,1200.5163532170673,1266.2956542894983,278705.3420308471
Sanyo_HIP_225HDE1_2008_E_,1201.0934894881536,1266.2784193464743,285034.2070812139
Sanyo_HIP_2717_2004_E_,1010.9302941379021,1260.2638056498263,35127.3330548776
Sanyo_HIP_55172_2003_E_,1112.187856877878,1260.2638056498263,70254.6661097552
Sanyo_HIP_6219_2003_E_,1123.1977478810156,1259.515870396377,78732.33705847753
Sanyo_HIP_63S1_2004_E_,1128.1470782035635,1263.5696084741453,79818.4285977033
Sanyo_HIP_6751B__2001_,1197.6910330009143,1271.7714236237834,217180.53318937586
Sanyo_HIP_6751B_2002_E_,1195.3220928399908,1270.166914920896,212181.38313753568
Sanyo_HIP_Bifacial_Prototype__2005_,1201.6562706801963,1271.7353909444882,244549.6287370613
Sanyo_HIP_H552BA2__2004_,1243.1533265564806,1317.3881828539666,232957.96801625204
Sanyo_HIP_HO97__2002_,1176.6844953837465,1247.480068156018,224138.3615377894
